such as,様に
Visit Magento Marketplaces,Magentoのマーケットプレイスをご覧ください
Read More,続きを読む
Partner Page,パートナーページ
No partners were found,パートナーが見つかりませんでした
Synchronize,同期します
Synchronizing %1 to %2,%2%1の同期
Synchronizing...,同期...
The timeout limit for response from synchronize process was reached.,同期プロセスからの応答のタイムアウト制限に達しました
File %1 does not exist,ファイル%1は存在しません
File %1 is not readable,ファイル%1は表示されません
File System,ファイルシステム
"database ""%1""","データベース ""%1"""
Parent directory does not exist: %1,親ディレクトリが存在しません：%1
"Unable to save file ""%1"" at ""%2""","""%2""で ""%1""ファイルを保存できません"
Wrong file info format,間違ったファイル情報フォーマット
Please set available and/or protected paths list(s) before validation.,検証の前に利用可能なおよび/または保護されたパスのリスト（複数可）を設定してください
Unable to create directory: %1,%1：ディレクトリを作成できません
Unable to save file: %1,%1：ファイルを保存できません
Some exception,いくつかの例外
"To see product price, add this item to your cart. You can always remove it later.",製品価格を確認するにはショッピングカートにこのアイテムを追加いつも後でそれを削除することができます
On Gesture,ジェスチャに
In Cart,カートに入れます
Before Order Confirmation,注文確認する前に
Order total will be displayed before you submit the order,注文を提出する前にご注文の合計が表示されます
You will see the order total before you submit the order.,注文を提出する前に注文の合計が表示されます
Actual Price,実際の価格
Wishlist,ウィッシュリスト
Customer's Wish List Report,お客様のウィッシュリストレポート
My Wish Lists,私のほしい物リスト
1 item in wish list,ウィッシュリスト内の1項目
%1 items in wish list,ウィッシュリスト内の%1アイテム
Wish List Search,一覧検索ウィッシュ
Customer Wish List Report,お客様のウィッシュリストレポート
"Wish list ""%1"" was saved.","""%1""ウィッシュリストが保存されました"
We can\'t create the wish list right now., 'tは今ウィッシュリストを作成する\ことができます
"""%1"" was copied to %2.","""%1""は%2にコピーされました"
We can\'t find the item.,tはアイテムを見つける」を\することができます
"""%1"" is already present in %2.","""%1""は%2に既に存在しています"
"We can\'t copy ""%1""."," 'tは ""%1""をコピーする\ことができます"
We can\'t copy the wish list item., 'tは希望リストの項目をコピー\ことができます
We can\'t find %1 items.,tは%1項目を検索」を\することができます
We can\'t copy %1 items., 'tは%1項目をコピー\ことができます
%1 items are already present in %2: %3.,%1項目%2に既に存在している：%3
%1 items were copied to %2: %3.,%3：%1項目が%2にコピーされました
You can\'t delete the default wish list., 'tはデフォルトのウィッシュリストを削除する\ことができます
"Wish List ""%1"" has been deleted.","一覧 ""%1""が削除されている願っています"
We can\'t delete the wish list right now., 'tは今ウィッシュリストを削除する\ことができます
"""%1"" was moved to %2.","""%1""は%2に移動しました"
We can\'t find an item with this ID.,tはこのIDを持つアイテムを検索」を\することができます
"We cannot move ""%1""."," ""%1""を移動することはできません"
We can\'t move the wish list item., 'tはウィッシュリスト項目を移動する\ことができます
%1 items cannot be moved: %2.,%1項目を移動することはできません：%2
We can\'t move %1 items., 'tは%1アイテムを移動\ことができます
%1 items were moved to %2: %3.,%3：%1項目が%2に移動しました
"%1 for ""%2""","""%2""の%1"
We can\'t add the item to shopping cart., 'tがショッピングカートにアイテムを追加する\ことができます
We can\'t add the following product(s) to shopping cart: %1., 'tはショッピングカートに以下の製品（複数可）を追加\することができます：%1
Product(s) %1 have required options. Each product can only be added individually.,製品（s）は%1はオプションを必要としていました各製品は個別に追加することができます
%1 product(s) have been added to shopping cart: %2.,%1の生成物（複数可）はショッピングカートに追加されました：%2
Please reenter your search options.,検索オプションを再入力してください
We could not perform the search.,検索を実行することができませんでした
Owner Name,所有者名
Owner Email,所有者のメール
%1's Wish List,%1のほしい物リスト
%1's Wish List (%2),%1のウィッシュリスト（%2）
Sign in to edit wish lists.,ウィッシュリストを編集するにはログインしてください
The wish list is not assigned to your account and can\'t be edited.,ウィッシュリストはあなたのアカウントに割り当てられていないtは編集すること」を\することができます
Provide the wish list name.,ウィッシュリスト名を指定します
"Wish list ""%1"" already exists.","ウィッシュリスト ""%1""は既に存在します"
Only %1 wish list(s) can be created.,%1ウィッシュリスト（複数可）のみ作成することができます
Unknown Magento error,不明なMagentoのエラー
InvalidArgumentException,InvalidArgumentException
All Wish Lists,すべてのほしい物リスト
Configure and Add to Order,設定し注文書に追加
No items,アイテムはありません
Delete Wish List,ウィッシュリストを削除します
Wish List Items,ウィッシュリストアイテム
You must select items to add to the cart.,カートに追加する項目を選択する必要があります
Add to:,追加：
Create New Wish List,新しいウィッシュリストを作成
Copy to Wish List,ウィッシュリストにコピーします
Wish List Name,リスト名をウィッシュ
Edit Wish List,編集ウィッシュリスト
Public Wish List,公共のウィッシュリスト
Private Wish List,プライベートウィッシュリスト
Move Selected to Wish List,ウィッシュリストに[選択移動
Copy Selected to Wish List,ウィッシュリストに選択したコピー
Ship to Multiple Addresses,複数のアドレスに船
Billing Information - %1,請求情報 - %1
Review Order - %1,注文を確認します - %1
Total for this address,このアドレスの合計
Shipping Methods,配送方法
Edit Billing Address,編集請求先住所
Edit Shipping Address,編集配送先住所
Create Billing Address,請求先住所を作成します
Create Shipping Address,配送先住所を作成します
Data saving problem,データ保存中に問題
We cannot open the overview page.,概要ページを開くことができません
Please agree to all Terms and Conditions before placing the order.,注文する前にすべての利用規約に同意してください
Order place error,注文の場所のエラー
Maximum qty allowed for Shipping to multiple addresses is %1,複数のアドレスに配送するために許容される最大数量は%1です
Please check shipping address information.,配送先住所の情報を確認してください
Please check billing address information.,請求先住所情報を確認してください
Please select shipping methods for all addresses.,すべてのアドレスの配送方法を選択してください
A payment method is not defined.,お支払い方法が定義されていません
The requested payment method is not available for multishipping.,要求された支払方法はmultishippingには使用できません
Item not found or already ordered,アイテムが見つかりましたまたはすでに注文していません
Please specify a payment method.,お支払い方法をご指定ください
Please check shipping addresses information.,配送先住所の情報をご確認ください
Please specify shipping methods for all addresses.,すべてのアドレスの配送方法をご指定ください
Select Addresses,アドレスの選択
Billing Information,課金情報
Place Order,注文
Order Success,順番成功
Default Billing,デフォルトの請求
Default Shipping,デフォルトの配送
Select Address,住所を選択
Select address,住所を選択
Choose Address,お届け先の設定
Back to Billing Information,戻る課金情報へ
Please select a shipping address for applicable items.,該当する項目のための配送先住所を選択してください
Send To,に送る
A shipping selection is not applicable.,出荷の選択は適用されません
Go to Shipping Information,発送情報へ移動します
Update Qty &amp; Addresses,アップ日数量＆＃038;アドレス
Enter a New Address,新規アドレスを入力してください
Back to Shopping Cart,戻るショッピングカートへ
Go to Review Your Order,ご注文を確認するために行きます
Back to Shipping Information,戻る発送情報へ
Other items in your order,ご注文のその他の項目
Edit Items,アイテムの編集
Shipping is not applicable.,送料は適用されません
Check Out with Multiple Addresses,複数のアドレスでチェックアウト
Shipping To,への配送
Order Review,注文レビュー
Grand Total:,総計：
Submitting order information...,注文情報を送信しています...
"Sorry, no quotes are available for this order right now.",申し訳ありませんが引用符は今この順序のために用意されていません
Continue to Billing Information,お支払い情報を続行
Back to Select Addresses,バックアドレスを選択します
Thank you for your purchase!,ご注文ありがとうございました。
Thanks for your order. We\'ll email you order details and tracking information.,ご注文いただきありがとうございます「詳細を注文し電子メールや追跡情報をいただけれ\します
Your order numbers are: ,ご注文番号は次のとおりです
Your order number is: ,ご注文番号は次のとおりです
"No New Relic Application ID configured, cannot continue with Cron Event reporting",構成されたん新しいRelicのアプリケーションIDはクロンイベントのレポートを続行することはできません
Delete Selected Problems,選択した問題を削除します
Unsubscribe Selected,登録解除選択
Save Newsletter,保存ニュースレター
Save and Resume,保存と再開
View Newsletter,表示ニュースレター
Edit Newsletter,編集ニュースレター
Queue Information,キュー情報
Queue Date Start,キュースタート日
Subscribers From,から購読者
Newsletter Styles,ニュースレターのスタイル
Start,開始
Pause,ポーズ
Do you really want to cancel the queue?,本当にキューをキャンセルしますか？
Resume,履歴書
Newsletter Templates,ニュースレターテンプレート
Save As,名前を付けて保存
Edit Newsletter Template,編集ニュースレターテンプレート
New Newsletter Template,新しいニュースレターテンプレート
No Templates Found,いいえテンプレートは見つかりませんでした
Added,追加されました
Template Type,テンプレートの種類
Queue Newsletter,キューレター
We unsubscribed the people you identified.,識別された人々を退会しました
The problems you identified have been deleted.,確認された問題は削除されました
Newsletter Problems Report,ニュースレターの問題レポート
Newsletter Problem Reports,ニュースレター問題のレポート
Newsletter Queue,ニュースレターキュー
Edit Queue,編集キュー
Please correct the newsletter template and try again.,ニュースレターのテンプレートを修正してもう一度お試しください
You saved the newsletter queue.,ニュースレターキューを保存しました
Newsletter Subscribers,ニュースレターの購読者
Subscribers,サブスクライバ
Please select one or more subscribers.,一つ以上の加入者を選択してください
The newsletter template has been deleted.,ニュースレターのテンプレートが削除されました
We can\'t delete this template right now., 'tは今このテンプレートを削除\することができます
Create Newsletter Template,ニュースレターのテンプレートを作成します
The newsletter template has been saved.,ニュースレターのテンプレートが保存されました
Something went wrong while saving this template.,このテンプレートを保存しているときに何かが間違っていました
Something went wrong while saving your subscription.,あなたのサブスクリプションを保存中に問題が発生しました
We saved the subscription.,サブスクリプションを保存しました
We removed the subscription.,サブスクリプションを削除しました
Your subscription has been confirmed.,サブスクリプションが確認されています
This is an invalid subscription confirmation code.,これは無効なサブスクリプションの確認コードです
This is an invalid subscription ID.,これは無効なサブスクリプションIDです
This email address is already assigned to another user.,このメールアドレスはすでに別のユーザーに割り当てられています
The confirmation request has been sent.,確認要求が送信されてきました
Thank you for your subscription.,ご購読いただきありがとうございます
There was a problem with the subscription: %1,サブスクリプションに問題がありました：%1
Something went wrong with the subscription.,何かがサブスクリプションと間違っていました
You unsubscribed.,購読解除しました
Something went wrong while unsubscribing you.,退会処理中に何かが間違っていました
There are no subscribers selected.,選択されたサブスクライバはありません
You selected an invalid queue.,無効なキューを選択しました
We cannot mark as received subscriber.,受信した加入者としてマークすることはできません
Duplicate template code,重複したテンプレートコード
Choose Store View:,ストアビューを選択します
Newsletter Message Preview,ニュースレターのメッセージのプレビュー
Add to Queue,キューに追加
Are you sure that you want to strip all tags?,すべてのタグを削除しますか？
Please enter a new template name.,新しいテンプレートの名前を入力してください
 Copy,コピー
Sign Up for Our Newsletter:,ニュースレターのご登録
Enter your email address,メールアドレスを入力してください
Subscribe,申し込む
Make Check payable to:,チェック買掛金を次のように行います
Send Check to:,にチェックを送信：
Purchase Order Number,発注番号
Make Check payable to: %1,%1：にチェックを支払うことを確認し
Purchase Order Number: %1,購入注文番号：%1
Make Check payable to,にチェックを支払うことを確認し
Send Check to,にチェックを送信
Shipping Price,送料価格
Store Pickup,ストアピックアップ
Weight vs. Destination,デスティネーション対重量
Price vs. Destination,デスティネーション対価格
# of Items vs. Destination,デスティネーション対アイテムの＃
Weight (and above),重量（以上）
Order Subtotal (and above),（上記と）注文小計
# of Items (and above),アイテムの＃（以上）
Please correct Table Rate code type: %1.,表レートコードタイプを修正してください：%1
Please correct Table Rate code for type %1: %2.,%2：タイプ%1の表レートコードを修正してください
Per Order,注文あたり
Per Item,1アイテムにつき
Please correct Table Rates File Format.,表料金ファイル形式を修正してください
Something went wrong while importing table rates.,テーブル率をインポート中に問題が発生しました
We couldn\'t import this file because of these errors: %1,これらのエラーの\ 'トンのインポートにこのファイルをcouldn：%1
Please correct Table Rates format in the Row #%1.,行番号%1の表料金フォーマットを修正してください
"Please correct Country ""%1"" in the Row #%2.","行番号%2で ""%1""国を修正してください"
"Please correct Region/State ""%1"" in the Row #%2.","行番号%2で地域/国家 ""%1""を修正してください"
"Please correct %1 ""%2"" in the Row #%3.","行番号%3で%1 ""%2""を修正してください"
"Please correct Shipping Price ""%1"" in the Row #%2.","行番号%2で配送料金 ""%1""を修正してください"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","重複行＃%1（国 ""%2""地域/国家 ""%3""郵便番号 ""%4""と値 ""%5""）"
For matching items only,項目のみを一致させるための
For shipment with matching items,一致する項目と出荷のため
Export VCL for Varnish ,ニスのためのエクスポートVCL
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","TTL値 ""%1""は有効ではありませんゼロ以上の数字のみを使用してください"
Built-in Application (Not Recommended for Production Use),内蔵アプリケーション（生産使用は推奨しません）
Varnish Caching,ニスキャッシュ
We cannot retrieve the payment method model object.,お支払い方法のモデルオブジェクトを取得することはできません
We cannot retrieve the payment info model object.,お支払い情報モデルオブジェクトを取得することはできません
Switch/Solo/Maestro Issue Number,スイッチ/ソロ/マエストロ問題番号
Switch/Solo/Maestro Start Date,スイッチ/ソロ/マエストロ開始日
We cannot retrieve the transparent payment method model object.,透明な支払方法モデルオブジェクトを取得することはできません
Command %1 does not exist.,コマンド%1は存在しません
Wrong gateway response format.,間違ったゲートウェイの応答形式
Validator for field %1 does not exist.,フィールド%1のためのバリデータは存在しません
All Allowed Countries,すべての許可の国
Specific Countries,特定の国
The payment method you requested is not available.,要求したお支払い方法は利用できません
The payment disallows storing objects.,お支払いはオブジェクトを格納禁止します
We cannot retrieve the payment method code.,私達は支払方法のコードを取得することはできません
We cannot retrieve the payment information object instance.,私達は支払情報オブジェクトのインスタンスを取得することはできません
You can\'t use the payment type you selected to make payments to the billing country., 'tは請求先の国への支払いを行うために選択した支払タイプを使用する\ことができます
The order action is not available.,注文のアクションは使用できません
The authorize action is not available.,authorizeアクションは使用できません
The capture action is not available.,キャプチャアクションは使用できません
The refund action is not available.,払い戻しの処理は利用できません
The void action is not available.,voidアクションは使用できません
The payment review action is unavailable.,支払審査アクションは使用できません
The credit card number doesn\'t match the credit card type.,tはクレジットカードのタイプと一致\クレジットカード番号のdoesn
Invalid Credit Card Number,クレジットカード番号が無効です
This credit card type is not allowed for this payment method.,このクレジットカードの種類はこの支払方法のために許可されていません
Please enter a valid credit card verification number.,有効なクレジットカードの認証番号を入力してください
Please enter a valid credit card expiration date.,有効なクレジットカードの有効期限を入力してください
%1 class doesn\'t implement \Magento\Payment\Model\MethodInterface,%1クラスdoesnの\ 'トン実装\ Magentoの\支払\モデル\ MethodInterface
 is not available. You still can process offline actions.,利用できませんまだオフラインのアクションを処理することができます
We\'ll ask for your payment details before you place an order.,ご注文の前にをお支払い方法を求めるでしょう\します
Credit Card Information,クレジットカード情報
Billing Agreements,課金契約
Reference ID,リファレンスID
Billing Agreement #%1,課金契約＃%1
Related Orders,関連受注
Billing Agreement View,課金契約を見ます
View Transaction Details,ビュー取引の詳細
Reference Information,リファレンス情報
Transaction Information,取引情報
PayPal Fee Information,PayPalの手数料について
PayPal Settlement Reports,PayPalの決済レポート
We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?,新しいレポートを取得するためにPayPalのSFTPサーバに接続しています。継続してもよろしいですか？
Fetch Updates,アップ日を取得します
button_label,BUTTON_LABEL
sandbox_button_label,sandbox_button_label
Help,助けて
View Demo,デモを見ます
See terms,用語を参照してください
You will be redirected to the PayPal website.,PayPalウェブサイトにリダイレクトされます
You will be redirected to the PayPal website when you place an order.,ご注文の際にはPayPalウェブサイトにリダイレクトされます
Would you like to sign a billing agreement to streamline further purchases with PayPal?,PayPalでさらに購入を合理化するための課金契約を締結しますか？
Invalid block type,無効なブロックタイプ
Please specify the correct billing agreement ID and try again.,正しい課金契約IDを指定してもう一度お試しください
You canceled the billing agreement.,課金契約をキャンセルしました
We can\'t cancel the billing agreement., 'tは課金契約を取り消す\ことができます
You deleted the billing agreement.,課金契約を削除しました
We can\'t delete the billing agreement., 'tは課金契約を削除する\ことができます
View Transaction,ビューのトランザクション
We found nothing to fetch because of an empty configuration.,原因空の設定のフェッチには何も見つかりませんでした
"We fetched %1 report rows from ""%2@%3."""," ""%3 @%2""から%1レポート行をフェッチ"
"We can\'t fetch reports from ""%1@%2.""","トンからレポートをフェッチ」を\することができます ""%2 @%1"""
"The billing agreement ""%1"" has been canceled.",課金契約「%1」がキャンセルされました
"The billing agreement ""%1"" has been created.",課金契約「%1」が作成されました
We couldn\'t finish the billing agreement wizard.,tは課金契約ウィザードを終了\couldn
We can\'t start the billing agreement wizard., 'tは課金契約ウィザードを開始\することができます
Billing Agreement # %1,課金契約＃%1
We can\'t initialize Express Checkout., 'tはエクスプレスチェックアウトを初期化\ことができます
PayPal Express Checkout Token does not exist.,PayPalのエクスプレスチェックアウトトークンは存在しません
A wrong PayPal Express Checkout Token is specified.,間違ったPayPalのエクスプレスチェックアウトトークンが指定されています
Express Checkout and Order have been canceled.,エクスプレスチェックアウトと注文はキャンセルされました
Express Checkout has been canceled.,エクスプレスチェックアウトがキャンセルされました
Unable to cancel Express Checkout,エクスプレスチェックアウトをキャンセルすることができません
We can\'t process Express Checkout approval., 'トンプロセスエクスプレスチェックアウトの承認を\することができます
We can\'t initialize Express Checkout review., 'tはエクスプレスチェックアウトのレビューを初期化する\ことができます
"To check out, please sign in with your email address.",チェックアウトするにはメールアドレスでログインしてください
We can\'t start Express Checkout.,tはエクスプレスチェックアウトを開始」を\することができます
Requested payment method does not match with order.,要求された支払方法は順序と一致しません
We can\'t contact the PayPal gateway., 'tはPayPalのゲートウェイに連絡して\ことができます
PayPal response hasn't required fields.,PayPalの応答はフィールドを必要としていません
Something went wrong while processing your order.,ご注文を処理中にエラーが発生しました
PayPal gateway has rejected request. %1,PayPalのゲートウェイは要求を拒否しました %1
The PayPal gateway rejected the request. %1,PayPalのゲートウェイは要求を拒否しました %1
I\'m sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.,私は\ '申し訳ありません - あなたの支払いを処理することができませんでした他のお支払い方法をお試しいただくかあなたを助けることができますのでお問い合わせください
I\'m sorry - but we are not able to complete your transaction. Please contact us so we can assist you.,私は\ '申し訳ありません - あなたのトランザクションを完了することができませんあなたを助けることができますのでお問い合わせください
The payment method code is not set.,支払方法コードが設定されていません
The reference ID is not set.,参照IDが設定されていません
Unable to save Billing Agreement:,課金契約書を保存することができません
The customer ID is not set.,顧客IDが設定されていません
The Billing Agreement status is not set.,課金契約のステータスが設定されていません
The PayPal certificate does not exist.,PayPalの証明書が存在しません
We prefer PayPal (150 X 60),PayPalのを好む（150 X 60）
We prefer PayPal (150 X 40),PayPalのを好む（150 X 40）
Now accepting PayPal (150 X 60),今のPayPalを受け入れる（150 X 60）
Now accepting PayPal (150 X 40),今のPayPalを受け入れる（150 X 40）
Payments by PayPal (150 X 60),PayPalでの支払い（150 X 60）
Payments by PayPal (150 X 40),PayPalでの支払い（150 X 40）
Shop now using (150 X 60),（150 X 60）を使用して今すぐお
Shop now using (150 X 40),（150 X 40）を使用して今すぐお
Shortcut,ショートカット
Acceptance Mark Image,アクセプタンスマーク画像
Authorization,承認
Sale,販売
For Virtual Quotes Only,バーチャルQuotesののみ
Auto,オート
Ask Customer,お客様に確認して下さい
IPN (Instant Payment Notification) Only,IPN（即時支払い通知）のみ
API Signature,API署名
API Certificate,API証明書
The ordering amount of %1 is pending approval on the payment gateway.,%1の発注量が支払いゲートウェイ上の承認が保留されています
Ordered amount of %1,%1の順序付けられた量
We\'ll authorize the amount of %1 as soon as the payment gateway approves it.,\ 'とすぐに支払いゲートウェイがそれを承認するよう%1の量を許可してしまう
The authorized amount is %1.,許可された量は%1です
The maximum number of child authorizations is reached.,子権限の最大数に達しました
"PayPal can\'t process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.",PayPalはゼロバランスによるものと 'トンプロセス指図を\することができますご購入を終了するには標準的なチェックアウトプロセスを介して行ってください
A payer is not identified.,支払者が特定されていません
Cannot get secure form URL from PayPal,ペイパルからの安全な形式のURLを取得できません
Last Transaction ID,最後のトランザクションID
This customer didn\'t include a confirmed address.,この顧客はトンが確認されたアドレスを含む '\なかったの
The payment is authorized but not settled.,支払いは許可するが決済されていません
The payment eCheck is not cleared.,支払イーチェックはクリアされません
The merchant holds a non-U.S. account and doesn\'t have a withdrawal mechanism.,店舗は米国以外のアカウントを保持していると 'tは撤退メカニズムを持っている\ doesnの
The payment currency doesn\'t match any of the merchant\'s balances currency.,支払通貨はdoesnの\ sの残高の通貨 'トン店舗\のいずれかに一致します」
The payment is pending while it is being reviewed by PayPal for risk.,それはリスクのためにPayPalが検討されている間に支払いが保留されています
The payment is pending because it was made to an email address that is not yet registered or confirmed.,それはまだ登録や確認されていないメールアドレスに行われたため支払いが保留されています
The merchant account is not yet verified.,店舗のアカウントはまだ確認されていません
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,お支払いはクレジットカードを介して行われました資金を受け取るために店舗はビジネスまたはプレミアステータスにアカウントをアップグレードする必要があります
"Sorry, but something went wrong. Please contact PayPal customer service.",申し訳ありませんが何かが間違っていました PayPalのカスタマーサービスにお問い合わせください
A reversal has occurred on this transaction due to a chargeback by your customer.,反転が原因であなたの顧客によるチャージバックにこの取引で発生しました
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,逆転は返金保証をトリガによりあなたの顧客にこのトランザクションで発生しました
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,反転が原因であなたの顧客からの取引に関する苦情にこの取引で発生しました
A reversal has occurred on this transaction because you have given the customer a refund.,顧客に返金を与えているので逆転はこの取引で発生しました
Reversal of an adjustment.,調整の逆転
Transaction reversal due to fraud detected by PayPal administrators.,PayPalの管理者によって検出された不正行為に起因する取引逆転
Transaction reversal by PayPal administrators.,PayPalの管理者によるトランザクション逆転
Reimbursement for a chargeback.,チャージバックのための償還
Settlement of a chargeback.,チャージバックの決済
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,逆転があるため不正ななりすましを疑う顧客の紛争のこの取引で発生しました
Buyer claims that he did not receive goods or service.,バイヤーは彼が商品またはサービスを受けていなかったと主張しています
Buyer claims that the goods or service received differ from merchant’s description of the goods or service.,買い手は受信した商品やサービスは商品やサービスの店舗の説明と異なると主張しています
Buyer claims that he/she did not authorize transaction.,バイヤーは彼/彼女が取引を承認しなかったことを主張しています
A case that has been resolved and close requires a reimbursement.,近くに解決された場合は払い戻しを要求します
Buyer claims that a possible duplicate payment was made to the merchant.,買い手は可能な重複支払いが店舗に行われたと主張しています
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.",買い手は受信した商品が不満足な欠陥または損傷していると主張しています
Unknown reason. Please contact PayPal customer service.,不明な理由 PayPalのカスタマーサービスにお問い合わせください
Payer ID,支払人ID
Payer Email,支払人のメール
Payer Status,支払人のステータス
Payer Address ID,支払人の住所のID
Payer Address Status,支払人の住所ステータス
Merchant Protection Eligibility,マーチャント保護資格
Triggered Fraud Filters,トリガー詐欺フィルタ
Last Correlation ID,最後の相関ID
Address Verification System Response,検証システムの応答アドレス
CVV2 Check Result by PayPal,PayPalでCVV2チェック結果
AVS Street Match,AVSストリートマッチ
AVS zip,AVSのzip
International AVS response,国際AVS応答
Buyer\'s Tax ID,バイヤー\ 'sの納税者番号
Buyer\'s Tax ID Type,バイヤー\ 'sの納税者番号タイプ
Chargeback,チャージバック
Complaint,苦情
Dispute,紛争
Matched Address only (no ZIP),一致したアドレスのみ（ZIP）
Matched Address only (no ZIP) International,一致したアドレスのみ（ZIP）国際
No Details matched,詳細情報なし一致しません
No Details matched. International,詳細情報なしにはマッチしません国際
Exact Match.,完全に一致
Exact Match. Address and Postal Code. International,完全に一致住所や郵便番号国際
Exact Match. Address and Postal Code. UK-specific,完全に一致住所や郵便番号英国固有
N/A. Not allowed for MOTO (Internet/Phone) transactions,N / A MOTO（インターネット/電話）取引のために許可されていません
N/A. Global Unavailable,N / Aグローバル使用不可
N/A. International Unavailable,N / A国際使用不可
Matched five-digit ZIP only (no Address),のみ一致した5桁の郵便番号（なし住所）
Matched Postal Code only (no Address),マッチした郵便番号のみ（アドレス）
N/A. Retry,N / Aリトライ
N/A. Service not Supported,N / Aサービスがサポートされません
N/A. Unavailable,N / A利用できません
Matched whole nine-didgit ZIP (no Address),マッチした全9-didgitのZIP（なし住所）
Yes. Matched Address and five-didgit ZIP,はい一致したアドレスと5-didgit ZIP
All the address information matched,すべてのアドレス情報が一致しました
None of the address information matched,一致したアドレス情報のなし
Part of the address information matched,一致したアドレス情報の一部
N/A. The merchant did not provide AVS information,N / A店舗はAVS情報を提供しませんでした
"N/A. Address not checked, or acquirer had no response. Service not available",N / A住所チェックしまたは取得企業は何の応答もありませんでしたではありませんサービスは利用できません
Matched (CVV2CSC),一致した（CVV2CSC）
No match,勝ち目がない
N/A. Not processed,N / A処理されていません
N/A. Service not available,N / Aサービスは利用できません
N/A. No response,N / A応答なし
Matched (CVV2),一致した（CVV2）
N/A. The merchant has not implemented CVV2 code handling,N / A店舗はCVV2コード処理を実装していません
N/A. Merchant has indicated that CVV2 is not present on card,N / A店舗はCVV2がカード上に存在しないことが示されました
CNPJ,CNPJ
CPF,CPF
Note: %1,注：%1
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1""ケースタイプ「%2」ケースID ""%3""%4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1""紛争は解決し閉じられています %2取引金額の%3"
You notified customer about invoice #%1.,請求書番号の約%1を顧客に通知しました
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"" %2取引金額の%3トランザクションID： ""%4"""
You notified customer about creditmemo #%1.,creditmemoの＃の約%1を顧客に通知しました
"IPN ""%1""","IPN ""%1"""
Payflow PNREF: #%1.,Payflow PNREF：＃%1
Unable to fetch transaction details.,取引の詳細を取得することができません
Invalid method %1::%2(%3),無効なメソッド%1 ::%2（%3）
Transaction has been declined,トランザクションが拒否されました
"Error processing payment, please try again later.",エラー処理の支払い後でもう一度お試しください
We cannot send the new order email.,新しい注文メールを送信することはできません
You cannot void a verification transaction.,検証トランザクションを無効にすることはできません
You need an authorization transaction to void.,無効にする権限トランザクションを必要とします
We can\'t issue a refund transaction because there is no capture transaction.,何のキャプチャトランザクションがないので「tは払い戻しトランザクションを発行する\ことができます
We cannot create a target file for reading reports.,レポートを読み取るためのターゲットファイルを作成することはできません
Report Date,報告日
Merchant Account,マーチャントアカウント
Invoice ID,請求書のID
PayPal Reference ID,PayPalのリファレンスID
PayPal Reference ID Type,PayPalのリファレンスIDタイプ
Event Code,イベントコード
Finish Date,終了日
Debit or Credit,デビットカードまたはクレジット
Gross Amount,総額
Fee Debit or Credit,手数料デビットまたはクレジット
Fee Amount,手数料の金額
Preapproved Payment ID,事前承認支払いのID
Subscription ID,サブスクリプションID
Credit,クレジット
Debit,借方
ACH Deposit (Hold for Dispute or Other Investigation),ACHデポジット（紛争またはその他の調査のために保留）
ACH Deposit (Reversal),ACHデポジット（戻入）
ACH Funding for Funds Recovery from Account Balance,勘定残高からの資金回収のためにACH資金
ACH Withdrawal,ACH撤退
"Account-to-Account Payment, initiated by PayPal",アカウント・ツー・アカウント支払いPayPalで開始
Auction Payment other than through eBay,イーベイを通じて以外のオークション支払い
AutoSweep,AutoSweep
Available Balance,利用可能残高
Balance Manager Account Bonus,バランスマネージャアカウントのボーナス
Bonus for first ACH Use,最初のACH使用のためのボーナス
Buyer Credit Payment,バイヤークレジット支払い
Charge-off,償却
Coupon Redemption,クーポン償還
Currency Conversion required to cover negative balance,負のバランスをカバーするために必要な通貨換算
Debit Card Cash Back,デビットカードキャッシュバック
Debit Card Transaction,デビットカード取引
Direct Payment API,直接支払API
EFT Funding (German banking),EFT資金（ドイツ銀行）
Express Checkout APIs,エクスプレスチェックアウトのAPI
Fee Reversal,料金逆転
Fee: Foreign ACH Withdrawal,料金：外国ACH撤退
Fee: Mass Pay Request,参加費：マス有料リクエスト
Fee: Web Site Payments Pro Account Monthly,料金：ウェブサイト決済プロアカウント月刊
Fee: WorldLink Check Withdrawal,料金：WorldLinkチェック取下げ
Funding,資金調達
General (Authorization),一般的な（認可）
General (Dividend),一般（配当）
General (Funds Transfer from PayPal Account to Another),一般的な（別のPayPalアカウントからの資金移転）
General (Purchase with a credit card),一般的な（クレジットカードで購入）
General Adjustment without businessrelated event,businessrelatedイベントのない一般的な調整
